SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;MATDATE;IS_RII;ISSUEDATE;EVENINGSESSION;IS_QUALIFIED_INVESTORS;HIGH_RISK;YIELDATWAP;REGISTRYCLOSEDATE;DIVIDENDVALUE;DIVIDENDYIELD;REGISTRYCLOSETYPE;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0
RU000A0JTS22;Роснефть08;ПАО НК Роснефть обл.08;Корпоративные облигации;RU000A0JTS22;4-08-00122-A;1;1000,0;RUB;15000000;1;0;TQCB;Т+: Облигации - безадрес.;10.03.2023;;22.03.2013;0;0;0;6,05;;;;;"публичное акционерное общество ""Нефтяная компания ""Роснефть""";7706107510;1;102,577;1059,17;910,886;1207,454;879,111;1239,229;847,336;1271,004;14,0;400000;17,0;2000000;20,0;10,00;10,00
RU000A0JTTA5;МТС БО-01;Мобильные ТелеСистемы ПАО БО-1;Биржевые облигации;RU000A0JTTA5;4B02-01-04715-A;1;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;22.03.2023;;03.04.2013;0;0;0;;;;;;"Публичное акционерное общество ""Мобильные ТелеСистемы""";7740000076;1;101,545;1043,05;907,454;1178,647;876,162;1209,938;844,871;1241,23;13,0;200000;16,0;1000000;19,0;9,00;9,00
RU000A0JTU85;РЖД-28 обл;"""Российские ЖД"" ОАО 28 обл.";Корпоративные облигации;RU000A0JTU85;4-28-65045-D;2;1000,0;RUB;20000000;1;0;TQCB;Т+: Облигации - безадрес.;21.03.2028;;09.04.2013;0;0;0;4,9;;;;;"открытое акционерное общество ""Российские железные дороги""";7708503727;1;100,231;1033,33;950,664;1115,996;919,664;1146,996;888,664;1177,996;8,0;400000;11,0;2000000;14,0;8,00;8,00
RU000A0JTV50;ОбКонФ БО1;Об.Кондитеры-Фин.ООО БО-01;Биржевые облигации;RU000A0JTV50;4B02-01-36190-R;3;1000,0;RUB;1700000;0;0;TQCB;Т+: Облигации - безадрес.;03.04.2023;;15.04.2013;0;0;0;;;;;;"Общество с ограниченной ответственностью ""Объединенные кондитеры - Финанс""";7705717209;1;102,22;1053,54;;2107,08;;2107,08;;2107,08;100,0;;;;;10,00;10,00
RU000A0JTVJ2;РСХБ 20;"""Россельхозбанк"" (АО) обл.20";Корпоративные облигации;RU000A0JTVJ2;42003349B;2;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;11.04.2023;;23.04.2013;0;0;0;5,8;;;;;"Акционерное общество ""Российский Сельскохозяйственный банк""";7725114488;1;102,64;1057,1;951,39;1162,81;919,677;1194,523;887,964;1226,236;10,0;400000;13,0;2000000;16,0;7,00;7,00
RU000A0JTVY1;ПИФНевский;ПИФ Невский УК Упр. Сбер.;Паи закрытых ПИФов;RU000A0JTVY1;1890-94169573;3;0,0;RUB;0;0;0;TQIF;Т+: Паи - безадрес.;;;07.05.2013;0;1;0;;;;;;"Общество с ограниченной ответственностью ""Управление Сбережениями""";7731191498;1;124430,93;124430,93;;248861,86;;248861,86;;248861,86;100,0;;;;;100,00;100,00
RU000A0JTW83;ДОМ.РФ25об;ДОМ.РФ (АО) обл. сер.А25;Корпоративные облигации;RU000A0JTW83;4-25-00739-A;1;1000,0;RUB;6000000;1;0;TQCB;Т+: Облигации - безадрес.;01.10.2026;;29.04.2013;0;0;0;;;;;;"Акционерное общество ""ДОМ.РФ""";7729355614;1;101,989;1027,05;883,263;1170,837;852,452;1201,649;821,64;1232,46;14,0;200000;17,0;1000000;20,0;10,00;10,00
RU000A0JTWT9;ВерЦемЗав1;Верхбак цемент завод ОАО 1об.;Корпоративные облигации;RU000A0JTWT9;4-01-31296-E;3;1000,0;RUB;3600000;0;0;TQCB;Т+: Облигации - безадрес.;04.05.2021;;14.05.2013;0;0;0;;;;;;"Открытое акционерное общество ""Верхнебаканский цементный завод""";2315076504;1;98,989;990,21;;1980,42;;1980,42;;1980,42;100,0;;;;;11,00;10,00
RU000A0JTX09;ОткрХОЛ 5;Открытие Холдинг АО обл. 05;Корпоративные облигации;RU000A0JTX09;4-05-14406-A;3;1000,0;RUB;5000000;0;0;TQRD;Т+: Облигации Д - безадрес.;25.04.2028;;14.05.2013;0;0;1;;;;;;"Акционерное общество ""Открытие Холдинг""";7708730590;1;1,47;14,7;;29,4;;29,4;;29,4;100,0;;;;;100,00;100,00
RU000A0JTY57;РЖД БО-18;"""Российские ЖД"" ОАО БО-18";Биржевые облигации;RU000A0JTY57;4B02-18-65045-D;3;1000,0;RUB;25000000;0;0;TQCB;Т+: Облигации - безадрес.;29.04.2043;;05.06.2013;0;0;0;;;;;;"открытое акционерное общество ""Российские железные дороги""";7708503727;1;100,0;1012,58;;2025,16;;2025,16;;2025,16;100,0;;;;;10,00;10,00
RU000A0JTYJ6;ФСК ЕЭС-23;"""ФСК ЕЭС""(ПАО)-обл. сер.23";Корпоративные облигации;RU000A0JTYJ6;4-23-65018-D;3;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;27.04.2048;;10.06.2013;0;0;0;;;;;;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1;100,0;1011,89;;2023,78;;2023,78;;2023,78;100,0;;;;;10,00;10,00
RU000A0JTYK4;ФСК ЕЭС-28;"""ФСК ЕЭС""(ПАО)-обл. сер.28";Корпоративные облигации;RU000A0JTYK4;4-28-65018-D;3;1000,0;RUB;20000000;0;0;TQCB;Т+: Облигации - безадрес.;27.04.2048;;10.06.2013;0;0;0;;;;;;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1;100,0;1011,89;;2023,78;;2023,78;;2023,78;100,0;;;;;10,00;10,00
RU000A0JTYL2;Роснефть06;ПАО НК Роснефть обл.06;Корпоративные облигации;RU000A0JTYL2;4-06-00122-A;1;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;30.05.2023;;11.06.2013;0;0;0;6,29;;;;;"публичное акционерное общество ""Нефтяная компания ""Роснефть""";7706107510;1;101,85;1034,99;620,994;1448,986;589,944;1480,036;558,895;1511,085;40,0;400000;43,0;2000000;46,0;10,00;10,00
RU000A0JTYM0;Роснефть09;ПАО НК Роснефть обл.09;Корпоративные облигации;RU000A0JTYM0;4-09-00122-A;1;1000,0;RUB;15000000;0;0;TQCB;Т+: Облигации - безадрес.;30.05.2023;;11.06.2013;0;0;0;6,0;;;;;"публичное акционерное общество ""Нефтяная компания ""Роснефть""";7706107510;1;102,096;1037,45;622,47;1452,43;591,347;1483,554;560,223;1514,677;40,0;400000;43,0;2000000;46,0;10,00;10,00
RU000A0JTYN8;Роснефть10;ПАО НК Роснефть обл.10;Корпоративные облигации;RU000A0JTYN8;4-10-00122-A;1;1000,0;RUB;15000000;0;0;TQCB;Т+: Облигации - безадрес.;30.05.2023;;11.06.2013;0;0;0;6,0;;;;;"публичное акционерное общество ""Нефтяная компания ""Роснефть""";7706107510;1;108,811;1104,6;662,76;1546,44;629,622;1579,578;596,484;1612,716;40,0;400000;43,0;2000000;46,0;10,00;10,00
RU000A0JTYQ1;ТКБ БО-2;"""ТКБ"" ПАО БО-2";Биржевые облигации;RU000A0JTYQ1;4B020202210B;3;1000,0;RUB;2000000;0;0;TQCB;Т+: Облигации - безадрес.;30.05.2023;;11.06.2013;0;0;0;;;;;;"Публичное акционерное общество ""ТРАНСКАПИТАЛБАНК""";7709129705;1;99,45;994,5;;1989,0;;1989,0;;1989,0;100,0;;;;;10,00;10,00
RU000A0JTZF1;ДОМ.РФ26об;ДОМ.РФ (АО) обл. сер.А26;Корпоративные облигации;RU000A0JTZF1;4-26-00739-A;3;1000,0;RUB;6000000;0;0;TQCB;Т+: Облигации - безадрес.;01.11.2029;;25.06.2013;0;0;0;;;;;;"Акционерное общество ""ДОМ.РФ""";7729355614;1;116,05;1163,52;;2327,04;;2327,04;;2327,04;100,0;;;;;10,00;10,00
RU000A0JTZM7;РЖД БО-09;"""Российские ЖД"" ОАО БО-09";Биржевые облигации;RU000A0JTZM7;4B02-09-65045-D;3;1000,0;RUB;25000000;0;0;TQCB;Т+: Облигации - безадрес.;08.06.2028;;27.06.2013;0;0;0;;;;;;"открытое акционерное общество ""Российские железные дороги""";7708503727;1;100,0;1010,39;;2020,78;;2020,78;;2020,78;100,0;;;;;10,00;10,00
RU000A0JU0B2;ДержаваБ01;"АКБ ""Держава"" БО-01";Биржевые облигации;RU000A0JU0B2;4B020102738B;3;1000,0;RUB;2000000;0;0;TQCB;Т+: Облигации - безадрес.;10.07.2023;;10.07.2013;0;0;0;;;;;;"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""";7729003482;1;99,758;1005,14;;2010,28;;2010,28;;2010,28;100,0;;;;;10,00;10,00
RU000A0JU0N7;ОткрФКББ02;ПАО ОТКРЫТИЕ ФК Банк БО-02;Биржевые облигации;RU000A0JU0N7;4B020202562B;2;1000,0;RUB;24000000;0;0;TQCB;Т+: Облигации - безадрес.;24.09.2025;;24.09.2013;0;0;0;;;;;;"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""";7706092528;1;73,162;731,66;;1463,32;;1463,32;;1463,32;100,0;;;;;34,00;22,00
RU000A0JU0U2;НацСтдБО-2;Национальный стандарт Банк Б-2;Биржевые облигации;RU000A0JU0U2;4B020203421B;3;1000,0;RUB;3000000;0;0;TQCB;Т+: Облигации - безадрес.;18.07.2023;;18.07.2013;0;0;0;;;;;;"Акционерное общество Банк ""Национальный стандарт""";7750056688;1;99,689;1002,62;;2005,24;;2005,24;;2005,24;100,0;;;;;10,00;10,00
RU000A0JU1Q8;РСХБ 21;"""Россельхозбанк"" (АО) обл.21";Корпоративные облигации;RU000A0JU1Q8;42103349B;1;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;18.07.2023;;30.07.2013;0;0;0;4,21;;;;;"Акционерное общество ""Российский Сельскохозяйственный банк""";7725114488;1;102,989;1035,47;921,568;1149,372;890,504;1180,436;859,44;1211,5;11,0;200000;14,0;1000000;17,0;10,00;10,00
RU000A0JU278;ИФКСОЮЗ3;ИФК СОЮЗ ПАО об. сер. 03;Корпоративные облигации;RU000A0JU278;4-03-80088-N;3;1000,0;RUB;20000000;0;0;TQRD;Т+: Облигации Д - безадрес.;18.07.2028;;06.08.2013;0;0;1;;;;;;"Публичное акционерное общество ""Инвестиционно-финансовая корпорация ""СОЮЗ""";7726586540;1;99,99;999,9;;1999,8;;1999,8;;1999,8;100,0;;;;;52,00;40,00
RU000A0JU2K9;ФСК ЕЭС-26;"""ФСК ЕЭС""(ПАО)-обл. сер.26";Корпоративные облигации;RU000A0JU2K9;4-26-65018-D;3;1000,0;RUB;15000000;0;0;TQCB;Т+: Облигации - безадрес.;30.06.2048;;13.08.2013;0;0;0;;;;;;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1;100,0;1003,72;;2007,44;;2007,44;;2007,44;100,0;;;;;10,00;10,00
RU000A0JU2L7;ФСК ЕЭС-27;"""ФСК ЕЭС""(ПАО)-обл. сер.27";Корпоративные облигации;RU000A0JU2L7;4-27-65018-D;3;1000,0;RUB;11000000;0;0;TQCB;Т+: Облигации - безадрес.;30.06.2048;;13.08.2013;0;0;0;;;;;;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1;100,0;1003,72;;2007,44;;2007,44;;2007,44;100,0;;;;;10,00;10,00
RU000A0JU2N3;ОткрХОЛ 6;Открытие Холдинг АО обл. 06;Корпоративные облигации;RU000A0JU2N3;4-06-14406-A;3;1000,0;RUB;5000000;0;0;TQRD;Т+: Облигации Д - безадрес.;27.07.2028;;15.08.2013;0;0;1;;;;;;"Акционерное общество ""Открытие Холдинг""";7708730590;1;2,21;22,1;;44,2;;44,2;;44,2;100,0;;;;;100,00;100,00
RU000A0JU3J9;АИЖК-13 А2;ИА АИЖК 2013-1 об.кл.А2;Корпоративные облигации;RU000A0JU3J9;4-02-79982-H;3;380,28;RUB;4978000;0;0;TQCB;Т+: Облигации - безадрес.;09.09.2045;;27.08.2013;0;0;0;;;;;;"Закрытое акционерное общество ""Ипотечный агент АИЖК 2013-1""";7743870582;1;129,186;498,579;;997,158;;997,158;;997,158;100,0;;;;;10,00;10,00
RU000A0JU542;РЖД БО-12;"""Российские ЖД"" ОАО БО-12";Биржевые облигации;RU000A0JU542;4B02-12-65045-D;3;1000,0;RUB;25000000;0;0;TQCB;Т+: Облигации - безадрес.;18.08.2033;;12.09.2013;0;0;0;;;;;;"открытое акционерное общество ""Российские железные дороги""";7708503727;1;100,0;1021,1;;2042,2;;2042,2;;2042,2;100,0;;;;;10,00;10,00
RU000A0JU5W7;МГор69-об;Гор.Обл.Займ Москвы 69 в.;Региональные облигации;RU000A0JU5W7;RU26069MOS0;3;1000,0;RUB;40000000;0;0;TQCB;Т+: Облигации - безадрес.;18.05.2021;;26.11.2013;0;0;0;;;;;;Правительство Москвы в лице Департамента финансов города Москвы;7710152113;1;100,089;1021,44;;2042,88;;2042,88;;2042,88;100,0;;;;;10,00;10,00
RU000A0JU6A1;РСХБ 22;"""Россельхозбанк"" (АО) обл.22";Корпоративные облигации;RU000A0JU6A1;42203349B;2;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;18.09.2023;;30.09.2013;0;0;0;3,9;;;;;"Акционерное общество ""Российский Сельскохозяйственный банк""";7725114488;1;99,546;1022,34;879,212;1165,468;848,542;1196,138;817,872;1226,808;14,0;100000;17,0;500000;20,0;7,00;7,00
RU000A0JU6M6;РЕСОЛизБ01;РЕСО-Лизинг ООО БО1;Биржевые облигации;RU000A0JU6M6;4B02-01-36419-R;3;1000,0;RUB;2500000;0;0;TQCB;Т+: Облигации - безадрес.;21.09.2023;;03.10.2013;0;0;0;;;;;;"Общество с ограниченной ответственностью ""РЕСО-Лизинг""";7709431786;1;105,9;1099,5;;2199,0;;2199,0;;2199,0;100,0;;;;;10,00;10,00
RU000A0JU773;ВТБ БО-43;Банк ВТБ (ПАО) БО-43;Биржевые облигации;RU000A0JU773;4B024301000B;1;1000,0;RUB;20000000;1;0;TQCB;Т+: Облигации - безадрес.;29.09.2023;;11.10.2013;0;0;0;5,54;;;;;Банк ВТБ (публичное акционерное общество);7702070139;1;99,615;1003,83;782,987;1224,673;752,873;1254,788;722,758;1284,902;22,0;400000;25,0;2000000;28,0;7,00;7,00
RU000A0JU7B7;РЖД БО-13;"""Российские ЖД"" ОАО БО-13";Биржевые облигации;RU000A0JU7B7;4B02-13-65045-D;3;1000,0;RUB;25000000;0;0;TQCB;Т+: Облигации - безадрес.;19.09.2033;;14.10.2013;0;0;0;;;;;;"открытое акционерное общество ""Российские железные дороги""";7708503727;1;100,0;1018,02;;2036,04;;2036,04;;2036,04;100,0;;;;;10,00;10,00
RU000A0JU7S1;ФСК ЕЭС-29;"""ФСК ЕЭС""(ПАО)-обл. сер.29";Корпоративные облигации;RU000A0JU7S1;4-29-65018-D;3;1000,0;RUB;20000000;0;0;TQCB;Т+: Облигации - безадрес.;07.09.2048;;21.10.2013;0;0;0;;;;;;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1;100,0;1006,68;;2013,36;;2013,36;;2013,36;100,0;;;;;10,00;10,00
RU000A0JU7Y9;ГПБ БО-07;ГПБ (АО) БО-07;Биржевые облигации;RU000A0JU7Y9;4B020700354B;3;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;22.10.2023;;22.10.2013;0;0;0;5,65;;;;;"""Газпромбанк"" (Акционерное общество)";7744001497;1;101,769;1046,69;962,955;1130,425;931,554;1161,826;900,153;1193,227;8,0;400000;11,0;2000000;14,0;7,00;7,00
RU000A0JU872;ОткрФКБ9;ПАО ОТКРЫТИЕ ФК Банк 9;Корпоративные облигации;RU000A0JU872;40901776B;3;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;11.11.2023;;24.10.2013;0;0;0;;;;;;"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""";7706092528;1;87,17;874,85;;1749,7;;1749,7;;1749,7;100,0;;;;;10,00;10,00
RU000A0JU9M0;РЖД БО-15;"""Российские ЖД"" ОАО БО-15";Биржевые облигации;RU000A0JU9M0;4B02-15-65045-D;3;1000,0;RUB;25000000;0;0;TQCB;Т+: Облигации - безадрес.;11.10.2038;;11.11.2013;0;0;0;;;;;;"открытое акционерное общество ""Российские железные дороги""";7708503727;1;100,0;1014,71;;2029,42;;2029,42;;2029,42;100,0;;;;;10,00;10,00
RU000A0JU9Y5;Электрон;ЗКПИФ Электрон УК ПрогрИнвИдеи;Паи закрытых ПИФов;RU000A0JU9Y5;2613;3;0,0;RUB;0;0;0;TQIF;Т+: Паи - безадрес.;;;25.11.2013;0;1;0;;;;;;"Акционерное общество Управляющая компания ""Прогрессивные инвестиционные идеи""";7723594775;1;1463,35;1463,35;;2926,7;;2926,7;;2926,7;100,0;;;;;100,00;100,00
RU000A0JUA45;ИРКУТ БО-4;"Корпорация ""ИРКУТ"" ПАО БО-04";Биржевые облигации;RU000A0JUA45;4B02-04-00040-A;3;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;06.11.2023;;18.11.2013;0;0;0;;;;;;"публичное акционерное общество ""Научно-производственная корпорация ""Иркут""";3807002509;1;101,999;1046,62;;2093,24;;2093,24;;2093,24;100,0;;;;;13,00;10,00
RU000A0JUAD7;РСХБ 23;"""Россельхозбанк"" (АО) обл.23";Корпоративные облигации;RU000A0JUAD7;42303349B;1;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;10.11.2023;;22.11.2013;0;0;0;4,56;;;;;"Акционерное общество ""Российский Сельскохозяйственный банк""";7725114488;1;102,989;1055,11;970,701;1139,519;939,048;1171,172;907,395;1202,825;8,0;100000;11,0;250000;14,0;10,00;10,00
RU000A0JUAH8;РЖД-30 обл;"""Российские ЖД"" ОАО 30 обл.";Корпоративные облигации;RU000A0JUAH8;4-30-65045-D;2;1000,0;RUB;15000000;1;0;TQCB;Т+: Облигации - безадрес.;07.11.2028;;26.11.2013;0;0;0;;;;;;"открытое акционерное общество ""Российские железные дороги""";7708503727;1;101,899;1037,48;861,108;1213,852;829,984;1244,976;798,86;1276,1;17,0;300000;20,0;1500000;23,0;10,00;10,00
RU000A0JUAN6;ГазпромБ19;"""Газпром"" ПАО БО-19";Биржевые облигации;RU000A0JUAN6;4B02-19-00028-A;3;1000,0;RUB;15000000;0;0;TQCB;Т+: Облигации - безадрес.;21.10.2043;;27.11.2013;0;0;0;;;;;;"Публичное акционерное общество ""Газпром""";7736050003;1;100,0;1013,53;;2027,06;;2027,06;;2027,06;100,0;;;;;10,00;10,00
RU000A0JUAP1;ГазпромБ20;"""Газпром"" ПАО БО-20";Биржевые облигации;RU000A0JUAP1;4B02-20-00028-A;3;1000,0;RUB;15000000;0;0;TQCB;Т+: Облигации - безадрес.;21.10.2043;;27.11.2013;0;0;0;;;;;;"Публичное акционерное общество ""Газпром""";7736050003;1;100,0;1013,53;;2027,06;;2027,06;;2027,06;100,0;;;;;10,00;10,00
RU000A0JUAT3;ВертолетБ2;Вертолеты России об. БО-02;Биржевые облигации;RU000A0JUAT3;4B02-02-12310-A;3;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;16.11.2023;;28.11.2013;0;0;0;;;;;;"Акционерное общество ""Вертолеты России""";7731559044;1;103,059;1050,73;630,438;1471,022;598,916;1502,544;567,394;1534,066;40,0;100000;43,0;500000;46,0;10,00;10,00
RU000A0JUBT1;АИЖ11А1/13;ИА АИЖК 2011-1 об.кл.А1/13;Корпоративные облигации;RU000A0JUBT1;4-08-74103-H;3;90,45;RUB;3263000;0;0;TQCB;Т+: Облигации - безадрес.;22.06.2046;;12.12.2013;0;0;0;;;;;;"Закрытое акционерное общество ""Ипотечный агент АИЖК 2011-1""";7725699639;1;189,98;173,2869;;346,5738;;346,5738;;346,5738;100,0;;;;;10,00;10,00
RU000A0JUC19;АИЖ11А2/13;ИА АИЖК 2011-1 об.кл.А2/13;Корпоративные облигации;RU000A0JUC19;4-09-74103-H;3;90,45;RUB;1631000;0;0;TQCB;Т+: Облигации - безадрес.;22.06.2046;;12.12.2013;0;0;0;;;;;;"Закрытое акционерное общество ""Ипотечный агент АИЖК 2011-1""";7725699639;1;101,96;92,7028;;185,4056;;185,4056;;185,4056;100,0;;;;;10,00;10,00
RU000A0JUC92;ФСК ЕЭС-30;"""ФСК ЕЭС""(ПАО)-обл. сер.30";Корпоративные облигации;RU000A0JUC92;4-30-65018-D;3;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;30.10.2048;;13.12.2013;0;0;0;;;;;;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1;100,0;1011,35;;2022,7;;2022,7;;2022,7;100,0;;;;;10,00;10,00
RU000A0JUCA9;ФСК ЕЭС-34;"""ФСК ЕЭС""(ПАО)-обл. сер.34";Корпоративные облигации;RU000A0JUCA9;4-34-65018-D;3;1000,0;RUB;14000000;0;0;TQCB;Т+: Облигации - безадрес.;30.10.2048;;13.12.2013;0;0;0;;;;;;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1;100,0;1011,35;;2022,7;;2022,7;;2022,7;100,0;;;;;10,00;10,00
RU000A0JUCG6;РЖД БО-10;"""Российские ЖД"" ОАО БО-10";Биржевые облигации;RU000A0JUCG6;4B02-10-65045-D;3;1000,0;RUB;25000000;0;0;TQCB;Т+: Облигации - безадрес.;29.11.2028;;18.12.2013;0;0;0;;;;;;"открытое акционерное общество ""Российские железные дороги""";7708503727;1;100,0;1010,66;;2021,32;;2021,32;;2021,32;100,0;;;;;10,00;10,00
RU000A0JUCR3;РоснефтьБ6;ПАО НК Роснефть БО-06;Биржевые облигации;RU000A0JUCR3;4B02-06-00122-A;2;1000,0;RUB;20000000;1;0;TQCB;Т+: Облигации - безадрес.;11.12.2023;;23.12.2013;0;0;0;;;;;;"публичное акционерное общество ""Нефтяная компания ""Роснефть""";7706107510;1;101,289;1026,19;923,571;1128,809;872,262;1180,119;831,214;1221,166;10,0;400000;15,0;2000000;19,0;8,00;8,00
RU000A0JUCS1;РоснефтьБ5;ПАО НК Роснефть БО-05;Биржевые облигации;RU000A0JUCS1;4B02-05-00122-A;2;1000,0;RUB;20000000;1;0;TQCB;Т+: Облигации - безадрес.;11.12.2023;;23.12.2013;0;0;0;;;;;;"публичное акционерное общество ""Нефтяная компания ""Роснефть""";7706107510;1;101,089;1024,19;921,771;1126,609;870,562;1177,819;829,594;1218,786;10,0;400000;15,0;2000000;19,0;8,00;8,00
RU000A0JUCX1;ИА ПСПб А;ИА ПСПб ЗАО об.кл.А;Корпоративные облигации;RU000A0JUCX1;4-02-80911-H;3;69,07;RUB;1878948;0;0;TQCB;Т+: Облигации - безадрес.;15.07.2041;;24.12.2013;0;0;0;;;;;;"Закрытое акционерное общество ""Первый Санкт-Петербургский ипотечный агент""";7704836098;1;119,9573;83,5145;;167,029;;167,029;;167,029;100,0;;;;;10,00;10,00
RU000A0JUD00;ВСИА2012 А;Вост.-Сиб.ипот.агент 2012 кл.А;Корпоративные облигации;RU000A0JUD00;4-04-79226-H;2;37,31;RUB;2614712;0;0;TQCB;Т+: Облигации - безадрес.;11.08.2046;;24.12.2013;0;0;0;;;;;;"Закрытое акционерное общество ""Восточно - Сибирский ипотечный агент 2012""";7704812650;1;100,99;37,8094;;75,6188;;75,6188;;75,6188;100,0;;;;;10,00;10,00
RU000A0JUD34;ВСИА2012 Б;Вост.-Сиб.ипот.агент 2012 кл.Б;Корпоративные облигации;RU000A0JUD34;4-05-79226-H;3;1000,0;RUB;82924;0;0;TQCB;Т+: Облигации - безадрес.;11.08.2046;;24.12.2013;0;0;0;;;;;;"Закрытое акционерное общество ""Восточно - Сибирский ипотечный агент 2012""";7704812650;1;100,0;1004,22;;2008,44;;2008,44;;2008,44;100,0;;;;;10,00;10,00
RU000A0JUEE7;ВЭБлизБ01;ВЭБ-лизинг АО БО-01;Биржевые облигации;RU000A0JUEE7;4B02-01-43801-H;3;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;16.01.2024;;28.01.2014;0;0;0;;;;;;"Акционерное общество ""ВЭБ-лизинг""";7709413138;1;102,627;1033,27;619,962;1446,578;588,964;1477,576;557,966;1508,574;40,0;100000;43,0;500000;46,0;10,00;10,00
RU000A0JUFE4;ВЭБЛзUSD11;ВЭБ-Лизинг USD-11;Корпоративные облигации;RU000A0JUFE4;4-26-43801-H;3;1000,0;USD;100000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;30.01.2024;;11.02.2014;0;0;0;;;;;;"Акционерное общество ""ВЭБ-лизинг""";7709413138;1;99,88;73759,993;59745,594;87774,392;56795,195;90724,791;53844,795;93675,191;19,0;1250;23,0;6250;27,0;19,00;19,00
RU000A0JUFF1;ВЭБЛзUSD12;ВЭБ-Лизинг USD-12;Корпоративные облигации;RU000A0JUFF1;4-27-43801-H;3;1000,0;USD;100000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;30.01.2024;;11.02.2014;0;0;0;;;;;;"Акционерное общество ""ВЭБ-лизинг""";7709413138;1;99,88;73759,993;59745,594;87774,392;56795,195;90724,791;53844,795;93675,191;19,0;1250;23,0;6250;27,0;19,00;19,00
RU000A0JUFG9;ВЭБЛзUSD13;ВЭБ-Лизинг USD-13;Корпоративные облигации;RU000A0JUFG9;4-28-43801-H;3;1000,0;USD;100000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;30.01.2024;;11.02.2014;0;0;0;;;;;;"Акционерное общество ""ВЭБ-лизинг""";7709413138;1;99,88;73759,993;59745,594;87774,392;56795,195;90724,791;53844,795;93675,191;19,0;1250;23,0;6250;27,0;19,00;19,00
RU000A0JUFH7;ВЭБЛзUSD14;ВЭБ-Лизинг USD-14;Корпоративные облигации;RU000A0JUFH7;4-29-43801-H;3;1000,0;USD;100000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;30.01.2024;;11.02.2014;0;0;0;;;;;;"Акционерное общество ""ВЭБ-лизинг""";7709413138;1;99,88;73759,993;59745,594;87774,392;56795,195;90724,791;53844,795;93675,191;19,0;1250;23,0;6250;27,0;19,00;19,00
RU000A0JUFQ8;ОткрФКББ08;ПАО ОТКРЫТИЕ ФК Банк БО-08;Биржевые облигации;RU000A0JUFQ8;4B020802562B;2;1000,0;RUB;3000000;0;0;TQCB;Т+: Облигации - безадрес.;26.03.2021;;03.04.2015;0;0;0;;;;;;"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""";7706092528;1;99,859;998,59;;1997,18;;1997,18;;1997,18;100,0;;;;;10,00;10,00
RU000A0JUFU0;РоснефтьБ1;ПАО НК Роснефть БО-01;Биржевые облигации;RU000A0JUFU0;4B02-01-00122-A;1;1000,0;RUB;15000000;1;0;TQCB;Т+: Облигации - безадрес.;06.02.2024;;18.02.2014;0;0;0;5,9;;;;;"публичное акционерное общество ""Нефтяная компания ""Роснефть""";7706107510;1;103,07;1034,6;941,486;1127,714;910,448;1158,752;879,41;1189,79;9,0;300000;12,0;1500000;15,0;10,00;10,00
